Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming SGSN ID,SGSN Number,Number Type,Local SGSN,Description
1,Yes,1,85,197037,Number prefix,No,
1,Yes,1,86,1989707,Number prefix,No,
1,Yes,1,88,2010,Number prefix,No,
1,Yes,1,89,2011,Number prefix,No,
1,Yes,1,92,2016,Number prefix,No,
1,Yes,1,1150,790434,Number prefix,No,
1,Yes,1,111,22176,Number prefix,No,
1,Yes,1,118,22501,Number prefix,No,
1,Yes,1,135,22676,Number prefix,No,
1,Yes,1,157,22796,Number prefix,No,
1,Yes,1,165,22997,Number prefix,No,
1,Yes,1,167,23072,Number prefix,No,
1,Yes,1,198,23326,Number prefix,No,
1,Yes,1,220,234802,Number prefix,No,
1,Yes,1,244,2356,Number prefix,No,
1,Yes,1,1075,27741,Number prefix,No,
1,Yes,1,263,24107,Number prefix,No,
1,Yes,1,280,24205,Number prefix,No,
1,Yes,1,314,24399,Number prefix,No,
1,Yes,1,326,24827,Number prefix,No,
1,Yes,1,1017,97155,Number prefix,No,DU_UAE
1,Yes,1,349,25073,Number prefix,No,
1,Yes,1,358,2519,Number prefix,No,
1,Yes,1,359,25191,Number prefix,No,
1,Yes,1,365,254760,Number prefix,No,
1,Yes,1,366,254763,Number prefix,No,
1,Yes,1,367,25478,Number prefix,No,
1,Yes,1,385,25578,Number prefix,No,
1,Yes,1,401,25675,Number prefix,No,
1,Yes,1,409,25775,Number prefix,No,
1,Yes,1,414,2584,Number prefix,No,
1,Yes,1,434,26097,Number prefix,No,
1,Yes,1,443,26133,Number prefix,No,
1,Yes,1,484,26599,Number prefix,No,
1,Yes,1,493,2782,Number prefix,No,
1,Yes,1,494,2783,Number prefix,No,
1,Yes,1,495,2784,Number prefix,No,
1,Yes,1,507,31654,Number prefix,No,
1,Yes,1,511,33609,Number prefix,No,
1,Yes,1,513,33660,Number prefix,No,
1,Yes,1,514,33662,Number prefix,No,
1,Yes,1,515,33689,Number prefix,No,
1,Yes,1,516,33695,Number prefix,No,
1,Yes,1,517,33751,Number prefix,No,
1,Yes,1,519,34606,Number prefix,No,
1,Yes,1,521,34607,Number prefix,No,
1,Yes,1,522,34609,Number prefix,No,
1,Yes,1,524,34630,Number prefix,No,
1,Yes,1,530,34690,Number prefix,No,
1,Yes,1,531,34697,Number prefix,No,
1,Yes,1,1076,1404726,Number prefix,No,
1,Yes,1,1151,22503,Number prefix,No,
1,Yes,1,912,919862,Number prefix,No,
1,Yes,1,562,3670,Number prefix,No,
1,Yes,1,591,39320,Number prefix,No,
1,Yes,1,593,39340,Number prefix,No,
1,Yes,1,594,39349,Number prefix,No,
1,Yes,1,595,39371,Number prefix,No,
1,Yes,1,597,39391,Number prefix,No,
1,Yes,1,734,62816,Number prefix,No,
1,Yes,1,1137,62855,Number prefix,No,
1,Yes,1,1121,67387,Number prefix,No,
1,Yes,1,1123,673869,Number prefix,No,
1,Yes,1,1122,673894,Number prefix,No,
1,Yes,1,1,25473,Number prefix,Yes,
1,Yes,1,4,120631,Number prefix,No,
1,Yes,1,5,12085978,Number prefix,No,
1,Yes,1,6,12085979,Number prefix,No,
1,Yes,1,7,120990,Number prefix,No,
1,Yes,1,8,123120,Number prefix,No,
1,Yes,1,9,1240449,Number prefix,No,
1,Yes,1,12,126053,Number prefix,No,
1,Yes,1,13,126057,Number prefix,No,
1,Yes,1,17,1304777,Number prefix,No,
1,Yes,1,20,131231,Number prefix,No,
1,Yes,1,21,13188545,Number prefix,No,
1,Yes,1,22,13188547,Number prefix,No,
1,Yes,1,23,1320334,Number prefix,No,
1,Yes,1,25,1330531,Number prefix,No,
1,Yes,1,26,133433,Number prefix,No,
1,Yes,1,27,1360339,Number prefix,No,
1,Yes,1,29,140445,Number prefix,No,
1,Yes,1,32,1404725,Number prefix,No,
1,Yes,1,34,140547,Number prefix,No,
1,Yes,1,35,1438276,Number prefix,No,
1,Yes,1,1124,67374,Number prefix,No,
1,Yes,1,1125,67384,Number prefix,No,
1,Yes,1,604,4177,Number prefix,No,
1,Yes,1,605,4178,Number prefix,No,
1,Yes,1,606,4179,Number prefix,No,
1,Yes,1,615,43660,Number prefix,No,
1,Yes,1,623,44385,Number prefix,No,
1,Yes,1,632,447488,Number prefix,No,
1,Yes,1,637,447785,Number prefix,No,
1,Yes,1,639,447802,Number prefix,No,
1,Yes,1,652,45311,Number prefix,No,
1,Yes,1,653,45313,Number prefix,No,
1,Yes,1,660,467350,Number prefix,No,
1,Yes,1,662,4673547,Number prefix,No,
1,Yes,1,663,4673548,Number prefix,No,
1,Yes,1,674,49151,Number prefix,No,
1,Yes,1,675,49157,Number prefix,No,
1,Yes,1,677,49160,Number prefix,No,
1,Yes,1,678,49170,Number prefix,No,
1,Yes,1,679,49171,Number prefix,No,
1,Yes,1,680,49172,Number prefix,No,
1,Yes,1,681,49175,Number prefix,No,
1,Yes,1,682,49176,Number prefix,No,
1,Yes,1,683,49177,Number prefix,No,
1,Yes,1,728,61414,Number prefix,No,
1,Yes,1,729,61415,Number prefix,No,
1,Yes,1,731,61426,Number prefix,No,
1,Yes,1,732,61430,Number prefix,No,
1,Yes,1,1155,7701,Number,No,
1,Yes,1,1049,861340,Number prefix,No,
1,Yes,1,1050,861341,Number prefix,No,
1,Yes,1,1051,861342,Number prefix,No,
1,Yes,1,810,88298,Number prefix,No,
1,Yes,1,820,905428,Number prefix,No,
1,Yes,1,821,905429,Number prefix,No,
1,Yes,1,869,919810,Number prefix,No,
1,Yes,1,874,919815,Number prefix,No,
1,Yes,1,875,919816,Number prefix,No,
1,Yes,1,888,919829,Number prefix,No,
1,Yes,1,890,919831,Number prefix,No,
1,Yes,1,899,919840,Number prefix,No,
1,Yes,1,904,919845,Number prefix,No,
1,Yes,1,908,919849,Number prefix,No,
1,Yes,1,1120,919954,Number prefix,No,
1,Yes,1,925,919890,Number prefix,No,
1,Yes,1,927,919892,Number prefix,No,
1,Yes,1,928,919893,Number prefix,No,
1,Yes,1,929,919894,Number prefix,No,
1,Yes,1,930,919895,Number prefix,No,
1,Yes,1,931,919896,Number prefix,No,
1,Yes,1,932,919897,Number prefix,No,
1,Yes,1,933,919898,Number prefix,No,
1,Yes,1,949,919932,Number prefix,No,
1,Yes,1,951,919934,Number prefix,No,
1,Yes,1,952,919935,Number prefix,No,
1,Yes,1,954,919937,Number prefix,No,
1,Yes,1,986,9377,Number prefix,No,
1,Yes,1,1005,96650,Number prefix,No,
1,Yes,1,1009,96659,Number prefix,No,
1,Yes,1,1013,96892,Number prefix,No,
1,Yes,1,1014,96899,Number prefix,No,
1,Yes,1,1015,97150,Number prefix,No,
1,Yes,1,1016,97154,Number prefix,No,
1,Yes,1,1018,97156,Number prefix,No,
1,Yes,1,1019,97250,Number prefix,No,
1,Yes,1,1026,97455,Number prefix,No,
1,Yes,1,800,86138,Number prefix,No,
1,Yes,1,801,86139,Number prefix,No,
1,Yes,1,1037,86135,Number prefix,No,
1,Yes,1,1038,86136,Number prefix,No,
1,Yes,1,1039,86159,Number prefix,No,
1,Yes,1,1040,86158,Number prefix,No,
1,Yes,1,1041,86150,Number prefix,No,
1,Yes,1,1042,86151,Number prefix,No,
1,Yes,1,1043,86152,Number prefix,No,
1,Yes,1,1044,86188,Number prefix,No,
1,Yes,1,1045,86147,Number prefix,No,
1,Yes,1,1046,86187,Number prefix,No,
1,Yes,1,1047,86182,Number prefix,No,
1,Yes,1,1048,86183,Number prefix,No,
1,Yes,1,1052,861343,Number prefix,No,
1,Yes,1,1053,861345,Number prefix,No,
1,Yes,1,1054,861346,Number prefix,No,
1,Yes,1,1055,861347,Number prefix,No,
1,Yes,1,1056,861348,Number prefix,No,
1,Yes,1,348,25072,Number prefix,No,
1,Yes,1,1073,24177,Number prefix,No,
1,Yes,1,1074,24174,Number prefix,No,
1,Yes,1,259,24104,Number prefix,No,
1,Yes,1,1077,447430,Number prefix,No,
1,Yes,1,1084,1678667,Number prefix,No,
1,Yes,1,1085,1970376,Number prefix,No,
1,Yes,1,1086,1260577,Number prefix,No,
1,Yes,1,1087,1260530,Number prefix,No,
1,Yes,1,1088,1209904,Number prefix,No,
1,Yes,1,1089,1605408,Number prefix,No,
1,Yes,1,1090,1312314,Number prefix,No,
1,Yes,1,1091,1231203,Number prefix,No,
1,Yes,1,1092,1907599,Number prefix,No,
